Date,Close,High,Low,Open,Volume,Sentiment_Score,FNG_Value,MA7,MA30,SMA20,STD20,BB_Upper,BB_Lower
2020-08-19,11758.283203125,12028.923828125,11687.3330078125,11990.884765625,24502851117,0.0,80,11758.283203125,11758.283203125,,,,
2020-08-20,11878.3720703125,11900.4111328125,11710.0634765625,11761.5,20175242945,0.0625,75,11818.32763671875,11818.32763671875,,,,
2020-08-21,11592.4892578125,11899.259765625,11564.9794921875,11878.0263671875,23762425999,0.0,81,11743.048177083334,11743.048177083334,,,,
2020-08-22,11681.8251953125,11689.4072265625,11448.8056640625,11585.4775390625,20224191306,0.0,78,11727.742431640625,11727.742431640625,,,,
2020-08-23,11664.84765625,11713.4296875,11559.9208984375,11679.6962890625,18482062658,0.16818181818181818,76,11715.1634765625,11715.1634765625,,,,
2020-08-24,11774.595703125,11807.6318359375,11623.25,11663.689453125,20681511755,-0.15,78,11725.06884765625,11725.06884765625,,,,
2020-08-25,11366.134765625,11778.2998046875,11189.8505859375,11773.5888671875,26301509932,0.0,75,11673.792550223214,11673.792550223214,,,,
2020-08-26,11488.36328125,11530.052734375,11296.9931640625,11366.89453125,22466660958,0.0,76,11635.23256138393,11650.613891601562,,,,
2020-08-27,11323.3974609375,11570.7861328125,11185.94140625,11485.6083984375,23240415076,0.0,75,11555.950474330357,11614.256510416666,,,,
2020-08-28,11542.5,11545.615234375,11316.4228515625,11325.2958984375,19807127588,0.0,74,11548.809151785714,11607.080859375,,,,
2020-08-29,11506.865234375,11585.640625,11466.29296875,11541.0546875,17485597759,0.0,79,11523.814871651786,11597.970348011364,,,,
2020-08-30,11711.505859375,11715.2646484375,11492.3818359375,11508.7138671875,19760127945,0.0,75,11530.48032924107,11607.431640625,,,,
2020-08-31,11680.8203125,11768.876953125,11598.318359375,11713.306640625,22285928250,0.0,75,11517.08384486607,11613.076923076924,,,,
2020-09-01,11970.478515625,12067.0810546875,11601.12890625,11679.31640625,27311555343,-0.15,75,11603.418666294643,11638.60560825893,,,,
2020-09-02,11414.0341796875,11964.8232421875,11290.7939453125,11964.8232421875,28037405299,0.0,83,11592.800223214286,11623.6341796875,,,,
2020-09-03,10245.296875,11443.0224609375,10182.46484375,11407.19140625,31927261555,0.0,79,11438.785853794643,11537.488098144531,,,,
2020-09-04,10511.8134765625,10663.919921875,10207.9404296875,10230.365234375,29965130374,0.0,40,11291.544921875,11477.154296875,,,,
2020-09-05,10169.5673828125,10581.5712890625,9946.67578125,10512.5302734375,44916565292,0.0,41,11100.502371651786,11404.510579427084,,,,
2020-09-06,10280.3515625,10353.927734375,10056.8857421875,10167.216796875,37071460174,0.0625,41,10896.0517578125,11345.34431537829,,,,
2020-09-07,10369.5634765625,10399.1533203125,9916.4931640625,10280.998046875,33703098409,0.0,41,10708.72935267857,11296.5552734375,11296.5552734375,605.666803853391,12507.888881144281,10085.221665730718
2020-09-08,10131.5166015625,10414.775390625,9945.1103515625,10369.306640625,33430927462,0.0,41,10446.0205078125,11241.077241443452,11215.216943359375,648.1397354056517,12511.496414170679,9918.937472548072
2020-09-09,10242.34765625,10350.54296875,10017.2509765625,10134.1513671875,24128292755,0.0,38,10278.63671875,11195.680442116478,11133.41572265625,663.1062607887894,12459.628244233829,9807.20320107867
2020-09-10,10363.138671875,10503.912109375,10238.1357421875,10242.330078125,54406443211,0.0,38,10295.471261160714,11159.482973845108,11071.948193359374,675.1803435484817,12422.308880456338,9721.58750626241
2020-09-11,10400.9150390625,10434.9228515625,10140.8369140625,10369.0283203125,45201121775,0.0,41,10279.628627232143,11127.8759765625,11007.902685546875,675.0360779912248,12357.974841529325,9657.830529564424
